proper_time,time,nodes,dofs,levels,alpha,mass,constraint
0.0,0.0,576,493,9,0.4918922936184531,3.7109375,0.0
0.07684106681058037,0.15625,576,493,9,0.4915378854886237,3.6979166666666665,0.0
0.15357433466380851,0.3125,576,493,9,0.4904784872856402,3.6979166666666665,7.55493185974615e-11
0.2300903964041809,0.46875,576,493,9,0.4887254704664643,3.6979166666666665,1.168878147581e-10
0.30628216364755606,0.625,576,493,9,0.4862974363698918,3.6848958333333335,1.6635702825783e-10
0.3820459612161691,0.78125,576,493,9,0.4832197102512767,3.671875,2.1703788787170222e-10
0.4572825299996813,0.9375,576,493,9,0.4795236722232952,3.6588541666666665,2.666271206087193e-10
0.5318979152715638,1.09375,582,499,9,0.4752459599952292,3.6458333333333335,3.1318920502885667e-10
0.6058042233088753,1.25,588,505,9,0.4704275826793886,3.6328125,3.185975050513976e-10
0.6789202354196924,1.40625,588,505,9,0.46511298608064483,3.6067708333333335,3.5343397933001393e-10
0.7511718747332007,1.5625,588,505,9,0.4593491084368581,3.5807291666666665,3.8269436488696536e-10
0.8224925268891013,1.71875,594,511,9,0.4531844612100894,3.541666666666667,4.049565506312135e-10
0.8928232207897759,1.875,588,505,9,0.44666826408365523,3.502604166666667,3.9493040563966047e-10
0.9621126796250035,2.03125,588,505,9,0.4398496564221653,3.4505208333333335,4.198175718261451e-10
1.0303172553581799,2.1875,580,511,9,0.4327770007246138,3.3984375,4.2769899530999354e-10
1.0974007617776256,2.34375,574,505,9,0.425497286744064,3.3333333333333335,4.867562503416638e-10
1.1633342221304974,2.5,562,493,9,0.4180556393372938,3.2552083333333335,5.20393782479495e-10
1.2280955474741533,2.65625,562,493,9,0.41049492817162403,3.1770833333333335,6.656155277388301e-10
1.2916691612745914,2.8125,568,499,9,0.4028554736862704,3.0859375,6.904640188648981e-10
1.3540455847205808,2.96875,574,505,9,0.3951748410988877,2.994791666666667,7.085428180119699e-10
1.4152209957949753,3.125,574,505,9,0.38748771274903954,2.9036458333333335,7.110030185781004e-10
1.4751967735677862,3.28125,566,511,9,0.37982582818359956,2.8125,7.138512917166518e-10
1.5339790375042797,3.4375,566,511,9,0.3722179813757945,2.734375,7.138512917166518e-10
1.5915781899507544,3.59375,566,511,9,0.36469006489373523,2.65625,7.001954143087823e-10
1.648008468420865,3.75,566,511,9,0.3572651515509882,2.5911458333333335,7.014111578218087e-10
1.7032875128956944,3.90625,566,511,9,0.34996360506203156,2.526041666666667,7.061318817116333e-10
1.7574359521018441,4.0625,572,517,9,0.34280321224282273,2.486979166666667,7.157216371217707e-10
1.8104770116604676,4.21875,572,517,9,0.335799330500184,2.4348958333333335,7.151481281756129e-10
1.8624361460488998,4.375,578,523,9,0.32896504492780443,2.3958333333333335,7.374626415689933e-10
1.9133406956034256,4.53125,578,523,9,0.32231133120491157,2.3567708333333335,7.465293310670298e-10
1.9632195691060954,4.6875,578,523,9,0.31584721988544856,2.3177083333333335,7.795697082608875e-10
2.012102952034172,4.84375,584,529,9,0.30957996001035687,2.291666666666667,8.153670736623028e-10
2.0600220401709004,5.0,584,529,9,0.30351517969376324,2.265625,8.313465160516708e-10
2.10700879791218,5.15625,584,529,9,0.29765704113964825,2.2395833333333335,8.688989528539593e-10
2.153095740398109,5.3125,590,535,9,0.29200839005939455,2.213541666666667,9.052705280447466e-10
2.198315738490896,5.46875,602,547,9,0.2865708984384748,2.1875,9.087219660877289e-10
2.2427018454218737,5.625,602,547,9,0.2813451982050791,2.1614583333333335,8.477868674292988e-10
2.286287143808936,5.78125,602,547,9,0.27633100832136337,2.1484375,8.985044064342233e-10
2.3291046118831056,5.9375,602,547,9,0.27152725289741164,2.1223958333333335,9.454888681102111e-10
2.3711870075597967,6.09375,602,547,9,0.2669321711256271,2.096354166666667,9.88316688969375e-10
2.4125667690739623,6.25,608,553,9,0.262543418966416,2.0833333333333335,1.0305435495227366e-9
2.4532759309006065,6.40625,608,553,9,0.25835816275565576,2.057291666666667,9.929629190354735e-10
2.4933460537125542,6.5625,608,553,9,0.2543731648971097,2.03125,1.0500009343513922e-9
2.532808167162694,6.71875,608,553,9,0.25058486202110397,2.018229166666667,1.0500009343513922e-9
2.5716927238860103,6.875,607,559,9,0.2469894326152567,1.9921875,1.105465252228856e-9
2.5928408595927896,6.9609375,639,577,10,0.2450927153416869,1.9791666666666667,9.406416588720846e-10
2.611926257901282,7.0390625,639,577,10,0.24341742976717556,1.9661458333333335,1.1015766382924965e-9
2.6308824897886276,7.1171875,659,583,10,0.24178827420097815,1.9661458333333333,1.1328643169895332e-9
2.6497131396295823,7.1953125,677,601,10,0.24020472156832634,1.953125,1.0738925829270646e-9
2.668421750483019,7.2734375,677,601,10,0.2386662413155075,1.9401041666666667,8.983381817624499e-10
2.6870118238709484,7.3515625,683,607,10,0.23717230077459567,1.9270833333333333,9.501744765881878e-10
2.7054868196622226,7.4296875,683,607,10,0.23572236646192976,1.9140625,1.0508397630835798e-9
2.7238501560551636,7.5078125,683,607,10,0.23431590530118473,1.9010416666666667,9.382207292053847e-10
2.742105209650364,7.5859375,689,613,10,0.23295238573216667,1.9010416666666667,9.890027468912735e-10
2.760255315610171,7.6640625,695,619,10,0.2316312788006484,1.8880208333333333,1.0812909143715863e-9
2.7783037678999882,7.7421875,695,619,10,0.23035205914767082,1.875,9.203071193675876e-10
2.7962538196023914,7.8203125,695,619,10,0.22911420591458131,1.8619791666666667,9.576820603227982e-10
2.8141086833026354,7.8984375,695,619,10,0.22791720363433413,1.8489583333333335,9.972453899247882e-10
