param,mass
0.33603529551392963,0.00013987223307291668
0.336035295513942,0.00013987223307291668
0.33603529551395583,0.00013987223307291668
0.3360352955139714,0.0001430511474609375
0.33603529551398886,0.0001430511474609375
0.3360352955140085,0.00014623006184895834
0.3360352955140306,0.00014623006184895834
0.33603529551405537,0.00014940897623697918
0.3360352955140832,0.00014940897623697918
0.3360352955141145,0.000152587890625
0.33603529551414957,0.000152587890625
0.33603529551423333,0.00015894571940104168
0.3360352955142831,0.00015894571940104168
0.3360352955143391,0.0001621246337890625
0.3360352955144019,0.00016530354817708334
0.3360352955144725,0.00016848246256510418
0.33603529551455175,0.00016848246256510418
0.3360352955146408,0.000171661376953125
0.3360352955147408,0.00017484029134114584
0.33603529551485317,0.00017801920572916668
0.3360352955149794,0.0001811981201171875
0.3360352955151212,0.00018755594889322918
0.3360352955152805,0.00019073486328125
