proper_time,time,nodes,dofs,levels,alpha,mass
0.0,0.0,514,445,9,0.5680836055440093,3.7239583333333335
0.08874307390764126,0.15625,514,445,9,0.5676694444032566,3.7239583333333335
0.17736021993476397,0.3125,514,445,9,0.5664323822686355,3.7239583333333335
0.2657239178460407,0.46875,514,445,9,0.5643885068224215,3.7239583333333335
0.35370992319761224,0.625,514,445,9,0.561564055159987,3.697916666666667
0.4411987956950699,0.78125,514,445,9,0.557994589437974,3.697916666666667
0.5280772789982502,0.9375,514,445,9,0.5537239167971497,3.697916666666667
0.6142394966748278,1.09375,514,445,9,0.54880281804234,3.671875
0.6995879396479427,1.25,514,445,9,0.5432876560783694,3.6458333333333335
0.7840342316691568,1.40625,514,445,9,0.5372389352840231,3.619791666666667
0.8674996701355296,1.5625,514,445,9,0.5307198776257016,3.59375
0.9499155491833113,1.71875,508,439,9,0.5237950717144269,3.541666666666667
1.0312232798863823,1.875,502,433,9,0.5165292387471332,3.4895833333333335
1.1113743282801631,2.03125,470,415,9,0.5089861461371464,3.4375
1.1903299957679592,2.1875,470,415,9,0.5012276865913372,3.359375
1.26806106838336,2.34375,470,415,9,0.49331312924682014,3.2552083333333335
1.3445473616594306,2.5,470,415,9,0.4852985395178534,3.151041666666667
1.4197771867994968,2.65625,494,439,9,0.4772363577126914,3.046875
1.4937467618845413,2.8125,512,457,9,0.46917512124289734,2.9166666666666665
1.5664595892405067,2.96875,518,463,9,0.461159312430112,2.8125
1.6379258172053202,3.125,530,475,9,0.4532293132065083,2.7083333333333335
1.7081616015615304,3.28125,530,475,9,0.4454214474296293,2.6171875
1.7771884790033325,3.4375,530,475,9,0.4377680932104226,2.5390625
1.8450327623426115,3.59375,530,475,9,0.43029784910567076,2.4739583333333335
1.911724964803707,3.75,530,475,9,0.42303574001688277,2.421875
1.9772992586815479,3.90625,530,475,9,0.4160034506946537,2.3828125
2.0417929719035053,4.0625,536,481,9,0.40921957677560505,2.34375
2.105246124612428,4.21875,542,487,9,0.40269988525231015,2.3046875
2.1677010067298204,4.375,548,493,9,0.39645757776106233,2.2786458333333335
2.2292017965690185,4.53125,554,499,9,0.3905035518676701,2.252604166666667
2.2897942198333383,4.6875,554,499,9,0.3848466559544372,2.2265625
2.3495252478726445,4.84375,554,499,9,0.3794939359135544,2.2005208333333335
2.408442833689089,5.0,554,499,9,0.3744508709022379,2.174479166666667
2.466595683899336,5.15625,560,505,9,0.36972159703366025,2.1614583333333335
2.5240330647763494,5.3125,566,511,9,0.3653091193871625,2.135416666666667
2.5808046403484743,5.46875,566,511,9,0.36121550927427676,2.1223958333333335
2.6369603404733417,5.625,572,517,9,0.3574420904360031,2.109375
2.692550257016454,5.78125,572,517,9,0.3539896118191301,2.0833333333333335
2.7476245661340273,5.9375,572,517,9,0.35085840848925853,2.0703125
2.802233474842614,6.09375,578,523,9,0.348048551117541,2.057291666666667
2.856427190149353,6.25,578,523,9,0.3455599848998085,2.0442708333333335
2.9102559091505578,6.40625,578,523,9,0.3433926586615774,2.018229166666667
2.9637698286374525,6.5625,578,523,9,0.34154664518764216,2.0052083333333335
