param,status
0.0,Disperse
0.33603529,Disperse
0.33603529249999997,Disperse
0.33603529374999996,Disperse
0.33603529437499996,Disperse
0.33603529468749993,Disperse
0.33603529484374994,Disperse
0.3360352948828125,Disperse
0.33603529490234374,Disperse
0.33603529490722656,Disperse
0.336035294909668,Disperse
0.3360352949108887,Disperse
0.3360352949111939,Disperse
0.33603529491127015,Disperse
0.33603529491128925,Disperse
0.3360352949112988,Disperse
0.3360352949113012,Disperse
0.33603529491130146,Disperse
0.3360352949113015,Collapse
0.3360352949113016,Collapse
0.33603529491130163,Collapse
0.3360352949113018,Collapse
0.33603529491130235,Collapse
0.3360352949113036,Collapse
0.3360352949113083,Collapse
0.3360352949113464,Collapse
0.336035294911499,Collapse
0.3360352949121094,Collapse
0.33603529492187495,Collapse
0.33603529499999996,Collapse
0.3360353,Collapse
5.0,Collapse
