proper_time,time,nodes,dofs,levels,alpha,mass
0.0,0.0,514,445,9,0.5680836055440093,3.7239583333333335
0.0887430739078021,0.15625,514,445,9,0.5676694444025868,3.7239583333333335
0.17736021993456044,0.3125,514,445,9,0.5664323822644783,3.7239583333333335
0.2657239178449338,0.46875,514,445,9,0.5643885068148611,3.7239583333333335
0.3537099231950737,0.625,514,445,9,0.5615640551490516,3.697916666666667
0.441198795690566,0.78125,514,445,9,0.5579945894235554,3.697916666666667
0.5280772789912268,0.9375,514,445,9,0.5537239167791097,3.697916666666667
0.6142394966647012,1.09375,514,445,9,0.5488028180204105,3.671875
0.6995879396340822,1.25,514,445,9,0.5432876560522676,3.6458333333333335
0.7840342316508996,1.40625,514,445,9,0.5372389352536043,3.619791666666667
0.8674996701121861,1.5625,514,445,9,0.5307198775907516,3.59375
0.9499155491541665,1.71875,508,439,9,0.5237950716749645,3.541666666666667
1.031223279850753,1.875,502,433,9,0.5165292387034518,3.4895833333333335
1.1113743282373925,2.03125,470,415,9,0.5089861460892436,3.4375
1.1903299957174562,2.1875,470,415,9,0.501227686540242,3.359375
1.2680610683246931,2.34375,470,415,9,0.49331312919347525,3.2552083333333335
1.3445473615923336,2.5,470,415,9,0.48529853946346685,3.151041666666667
1.4197771867239237,2.65625,494,439,9,0.47723635765901995,3.046875
1.49374676180079,2.8125,512,457,9,0.4691751211920934,2.9166666666666665
1.566459589148965,2.96875,518,463,9,0.46115931238135416,2.8125
1.6379258171063167,3.125,530,475,9,0.45322931315990633,2.7083333333333335
1.7081616014555643,3.28125,530,475,9,0.44542144738718276,2.6171875
1.7771884788910206,3.4375,530,475,9,0.4377680931717929,2.5390625
1.8450327622245242,3.59375,530,475,9,0.4302978490704471,2.4739583333333335
1.9117249646803303,3.75,530,475,9,0.42303573998440663,2.421875
1.9772992585532494,3.90625,530,475,9,0.41600345066405936,2.3828125
2.041792971770523,4.0625,536,481,9,0.4092195767462115,2.34375
2.105246124474923,4.21875,542,487,9,0.4026998852239081,2.3046875
2.167701006587938,4.375,548,493,9,0.3964575777335081,2.2786458333333335
2.229201796422893,4.53125,554,499,9,0.3905035518412458,2.252604166666667
2.2897942196831913,4.6875,554,499,9,0.384846655929406,2.2265625
2.3495252477186512,4.84375,554,499,9,0.37949393588925395,2.2005208333333335
2.408442833531297,5.0,554,499,9,0.3744508708777676,2.174479166666667
2.466595683737658,5.15625,560,505,9,0.36972159700835877,2.1614583333333335
2.5240330646106472,5.3125,566,511,9,0.365309119361187,2.135416666666667
2.5808046401787297,5.46875,566,511,9,0.3612155092485118,2.1223958333333335
2.6369603402995763,5.625,572,517,9,0.357442090410084,2.109375
2.6925502568385484,5.78125,572,517,9,0.3539896117918969,2.0833333333333335
2.7476245659517327,5.9375,572,517,9,0.35085840846008004,2.0703125
2.8022334746555604,6.09375,578,523,9,0.3480485510856858,2.057291666666667
2.8564271899571927,6.25,578,523,9,0.3455599848661199,2.0442708333333335
2.9102559089529567,6.40625,578,523,9,0.3433926586253566,2.018229166666667
2.9637698284339424,6.5625,578,523,9,0.3415466451478262,2.0052083333333335
3.0170191726937245,6.71875,578,523,9,0.3400222535842022,1.9921875
3.070054237804792,6.875,577,529,9,0.3388201308218637,1.9791666666666667
3.1229254541151055,7.03125,583,535,9,0.3379413773998868,1.9661458333333335
3.1756834608326274,7.1875,583,535,9,0.33738761783053706,1.953125
3.2283791968973072,7.34375,583,535,9,0.33716110709003455,1.9401041666666667
3.2810640054502653,7.5,589,541,9,0.33726481394293795,1.9270833333333335
3.333789751682331,7.65625,589,541,9,0.33770250572336763,1.9140625
3.3694297074976447,7.76171875,609,547,10,0.33818905831913265,1.9010416666666667
3.395867271451734,7.83984375,615,553,10,0.33864990675786655,1.9010416666666667
3.4223440372346343,7.91796875,621,559,10,0.33919707186263265,1.9010416666666667
3.4488667783587155,7.99609375,621,559,10,0.33983137445396483,1.8880208333333335
3.4754423349915524,8.07421875,621,559,10,0.34055370391659967,1.8880208333333335
3.502077619402273,8.15234375,627,565,10,0.341365020618233,1.8880208333333335
3.528779621596387,8.23046875,627,565,10,0.3422663583091743,1.875
3.5555554151376088,8.30859375,627,565,10,0.34325882650412604,1.875
3.5824121631519885,8.38671875,627,565,10,0.3443436127639,1.875
3.6093571245086795,8.46484375,653,577,10,0.3455219849272772,1.875
3.636397660171413,8.54296875,653,577,10,0.3467952932432041,1.875
3.663541239712092,8.62109375,659,583,10,0.34816497237167376,1.875
