proper_time value
0.00000000000000000 0.33603529601451598
0.00576435194944780 0.33603412570808855
0.01152865524334406 0.33603061484038083
0.01152861924875711 0.33603061484038071
0.01729282712509386 0.33602476356609007
0.02305689282743274 0.33601657214299824
0.02882076960812385 0.33600604093193726
0.03458441073103040 0.33599317039674609
0.04034776947437477 0.33597796110420380
0.04611079913358225 0.33596041372394209
0.05187345302412199 0.33594052902834526
0.05763568448434490 0.33591830789244026
0.06339744687831780 0.33589375129377308
0.06915869359865359 0.33586686031226592
0.07491937806933678 0.33583763613005524
0.08067945374854411 0.33580608003131385
0.08643887413145981 0.33577219340205833
0.09219759275308488 0.33573597772994401
0.09795556319104012 0.33569743460404516
0.10371273906836252 0.33565656571462288
0.10946907405629432 0.33561337285288029
0.11522452187706454 0.33556785791070570
0.12097903630666257 0.33552002288040128
0.12673257117760306 0.33546986985439714
0.13248508038168214 0.33541740102494755
0.13823651787272426 0.33536261868381106
0.14398683766931925 0.33530552522191343
0.14973599385754921 0.33524612312899471
0.15548394059370502 0.33518441499324203
0.16123063210699159 0.33512040350090960
0.16697602270222206 0.33505409143592779
0.17272006676249985 0.33498548167950137
0.17846271875188882 0.33491457720969769
0.18420393321807071 0.33484138110102374
0.18994366479498970 0.33476589652399019
0.19568186820548347 0.33468812674466231
0.20141849826390068 0.33460807512419460
0.20715350987870418 0.33452574511835032
0.21288685805505983 0.33444114027700461
0.21861849789741045 0.33435426424363357
0.22434838461203446 0.33426512075478920
0.23007647350958901 0.33417371363956305
0.23580272000763708 0.33408004681903986
0.24152707963315831 0.33398412430574220
0.24724950802504325 0.33388595020306616
0.25296996093657059 0.33378552870470796
0.25868839423786688 0.33368286409407999
0.26440476391834894 0.33357796074371587
0.27011902608914806 0.33347082311466247
0.27583113698551587 0.33336145575585896
0.28154105296921172 0.33324986330350242
0.28724873053087113 0.33313605048040079
0.29295412629235484 0.33302002209531389
0.29865719700907861 0.33290178304228485
0.30435789957232290 0.33278133829996187
0.31005619101152271 0.33265869293091294
0.31575202849653683 0.33253385208093189
0.32144536933989665 0.33240682097833846
0.32713617099903369 0.33227760493326886
0.33282439107848644 0.33214620933695871
0.33850998733208526 0.33201263966101574
0.34419291766511595 0.33187690145668236
0.34987314013646109 0.33173900035408843
0.35555061296071944 0.33159894206149348
0.36122529451030277 0.33145673236452033
0.36689714331751017 0.33131237712538042
0.37256611807657941 0.33116588228209137
0.37823217764571537 0.33101725384768904
0.38389528104909493 0.33086649790943357
0.38955538747884871 0.33071362062800980
0.39521245629701895 0.33055862823672166
0.40086644703749358 0.33040152704068071
0.40651731940791624 0.33024232341598753
0.41216503329157211 0.33008102380890669
0.41780954874924942 0.32991763473503405
0.42345082602107631 0.32975216277845715
0.42908882552833311 0.32958461459090893
0.43472350787523972 0.32941499689091625
